Pais de Proveniencia|Aduana de Ingreso| Fecha de la Poliza|Partida Arancelaria|Modelo del Vehiculo|Marca|Linea|Centimetros Cubicos|Distintivo|Tipo de Vehiculo|Tipo de Importador|Tipo Combustible|Asientos|Puertas|Tonelaje|Valor CIF|Impuesto
ALEMANIA REP. FED.|CENTRAL DE GUATEMALA|14/12/2015| 87032369|2016|BMW|320I|1998|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|205434.81|24652.18|
ALEMANIA REP. FED.|EL CARMEN|11/12/2015| 87032379|2006|BMW|X3 3.0i 4X4|3000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|21002.77|2520.33|
ALEMANIA REP. FED.|CENTRAL DE GUATEMALA|08/12/2015| 87032379|2016|BMW|M135I|2979|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|5|0|245511.47|29461.38|
ALEMANIA REP. FED.|TECUN UMAN|21/12/2015| 87032379|2005|BMW|X3 3.0i 4X4|3000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|22420.15|2690.42|
ESTADOS UNIDOS|PUERTO BARRIOS|26/12/2015| 87032379|2003|BMW|X5 3.0 i 4x4|3000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|17229.8|2067.58|
ALEMANIA REP. FED.|PUERTO QUETZAL|18/12/2015| 87032369|2013|BMW|328I|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|116710.46|14005.26|
ALEMANIA REP. FED.|CENTRAL DE GUATEMALA|08/12/2015| 87032379|2016|BMW|M3|2979|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|451258.9|54151.07|
ESTADOS UNIDOS|SANTO TOMAS DE CASTILLA|30/12/2015| 87032379|2006|BMW|325I|3000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|19516.48|2341.98|
ALEMANIA REP. FED.|TECUN UMAN|08/12/2015| 87032379|2004|BMW|X3 2.5I 4X4|2500|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|27184.92|3262.19|
ESTADOS UNIDOS|CENTRAL DE GUATEMALA|17/12/2015| 87032369|2016|BMW|X3  SDRIVE20I|1997|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|213949.69|25673.96|
ESTADOS UNIDOS|CENTRAL DE GUATEMALA|17/12/2015| 87032369|2016|BMW|X3  SDRIVE20I|1997|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|213949.69|25673.96|
ESTADOS UNIDOS|PUERTO BARRIOS|19/12/2015| 87032379|1998|BMW|328IS|2800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|2|0|7947.97|953.76|
